,review_lst
10,쿨그레이 색상도 시원하고 피부에 닿는 느낌이 진짜 서늘~하니 좋으네요 딸램방에 두려고ss샀는데 제방에 두고 ㅎ 퀸사이즈 침대다 놓으니 똭~^^ 가로로 발 좀 내놓고 덮으면 둘이 써도 되네요 이불 싫어하는 옆시기도 저건 배에 놓고 좋아합니당 ^^비산게 걸리지만 같은사이즈로 하나 더 구입해야것어요(2020-08-09 11:41:00 에 등록된 네이버 페이 구매평)
11,최애 이불이에요. 가족들이 이 이불만 찾네요(2021-07-03 19:18:00 에 등록된 네이버 페이 구매평)
12,와 인스타 리뷰 보고삿는데 긴가민가 매트이불 갈끔한거 사자 싶어서 삿는데시원하네요.... 이불이랑 매트사이에 손넣으면 시원~ 굿굿 감사합니다
13,"참 신기하네요.한쪽은 시원하고 한쪽은 부드럽고, 아이가 땀을너무많이흘려서 구매했는데.. 이불너무좋아해서 만족합니다.양면이 달라서 4계절 모두 사용할수있을듯해여(2022-08-08 16:47:45 에 등록된 네이버 페이 구매평)"
14,아이들이 더워해서 이불을 바꿔주고 싶은데 마땅한 이불을 찾다가 바디럽 사이트에 들어오게 됐어요. 작은 아이가 땀이 많긴 한데 땀이 식으면서 추위도 타서 양면이 다른 이 이불이 맘에 들어서 구입했는데 역시 좋네요^^ 다른 상품에도 관심이 갑니다.이불 색깔이 어떨지 고민을 많이 해서 두 색깔로 구매했습니다.
15,설마설마 했는데 진짜 시원해요~강추입니다👍
16,보들보들하고 느낌너무좋아요쿨링느낌은 조금약하지만 잠은잘오네요
17,한면은 확실히 시원하네요. 아이들 주려고 2개구입~ㅋ 아이들이 여름에도 폭신하고 보들보들 이불을 좋아해서 고민하다 샀는데 사길 잘했어요. 더워도 이불은 꼭 말고 자는 아들~ 땀을 한바가지 흘려서 이불 걷어 주느라 힘든데요건 덜 흘려서 안심!!촉감이 확실히 부들부들 시원해요~ㅋ(2022-07-02 08:21:08 에 등록된 네이버 페이 구매평)
18,제가 직장이 외지에 있고 호텔인데 회장님이 아시는 분이라 저에게 방을 하나 주셨는데 이불이 너무 무겁고 힘들어서 더위도 많이 타서 쿨이불 구매했는데 첨에 4계절 용이라고 봐서 구매했는데 보는 순간 잘 못구매 한줄 알았는데 여름에는 시원하고 겨울에는 따뜻하게 몸에 무리 안가게 딱 좋네요~~
19,이불이 진짜 시원할까..? 반신반의하면서 주문했는데 진짜 시원해요! 촉감도 너무 좋고 완전 만족하면서 사용하고있습니다!(2020-08-17 13:33:11 에 등록된 네이버 페이 구매평)
20,"쿨매트는 앞서 리뷰를 했기에 생략합니다:)첫번째 사진은 포장상태입니다! 젤 왼쪽이 박스고 그 안에 천가방, 그 안에 지퍼백에 잘 포장되어오네요!두번째랑 세번째는 쿨이불 앞,뒤 단면이에요!두면 다 전 시원해서 만족인데~ 박스나 천가방 한면에 작게나마 날씨에 따라 앞면(앞면은 이런 상태), 뒤면(상태설명) 나눠서 설명이 있음 더 좋겠네요! 날씨에 따라 맞는면으로 사용하라는말만 있는게 굳이 뽑는 아쉬움입니다! 다른건 시원하고 대만족이네요:)"
21,울엄마 갱년기에 선풍기 틀면 춥다 소름돋는다 끄면 식은땀 줄줄에 덥다 에어컨틀어라 무한반복하다가 웜마약이불을 엄마가 너무 좋아해서 마약이불 여름꺼도 있네? 한마디 했다가 지금 당장 가족별로 다 주문해라 하셔서 4개주문했는데 택배가 1개씩 따로따로 와서 뭐지ㅋㅋ그러고있다가 택배 열고 넷다 이불을 뒤집어 쓰고나선 하....이거 물건이네 넘 시원하고 조타...일 안가고 집에만 있고싶다..울 강쥐도 넘 좋아하고 저는 솔직히 더울때 이불 시원한 면 다리에 대고있으면 잠이 솔솔 와서 더 좋으네요 완벽만족임데이(2020-08-17 14:02:46 에 등록된 네이버 페이 구매평)
22,"반신반의하면서 구입했는데,약간 냉감도 도는데, 추운건 아니고상쾌한 느낌입니다쿨그레이 샀는데, 색도 이쁘고잠도 잘 자고 있습니다빨고 나서도 쾌감 유지될지 궁금해지네요"
23,남편은 진한게 애방에 좋대서 한개는 이렇게 깔았는데 괜찮네요 더 시원해보이기도하구요  뒤에 미끌림방지도있지만 끈도있어 침대에고정 ㅋ저 매트리스도 바디럽건데 다 바디럽으로 바뀌는중입니다
24,최고입니다 그냥 막연히 최고라는 어제 받아서 아주 시원하게 잘잤어요~ 부러워서 좋습니다 ㅎㅎ
25,습하고 더운여름 잠자리가 뽀송 상쾌한 느낌이에요 한장은 깔고 한장은 덮고 적극추천합니다(2020-08-17 14:40:58 에 등록된 네이버 페이 구매평)
26,"머리에 땀이 많아배게 커버 자주 바꿔서무인양품에서 많이 샀는데,마약커버 색갈도 이쁘고,가격도 싸서 좋습니다마약 이불과 세트 같아 보입니다"
27,시원하고 예뻐요ㅎㅎ오자마자 세탁하고 제습기로 말려서 침구 교체했는데 피부에 닿는 촉감도 좋고 시원하고 색도 예쁘고ㅎㅎ한번에 다 살까 하다가 써보고 나머지는 사야지 했는데 얼른 주문해서 애들방도 바꿔줘야겠어요ㅎ
28,쿨매트 최고에요 너무 좋고 잘 사용하겠습니다. 번창하시길 바랄게요!! ㅎㅎ
29,색상이 약간 민트 섞인 그레이라서 쿨그레이 색이라고 했나봐요~ 민트 좋아하는 입장에서 색상 맘에 쏙 들고 이불 촉감도 한쪽은 시원하고 한쪽은 보드랍고 몸에 엉기지 않고 너무 좋아요^^ 땀 많은 초등 남자아이 사줬는데 너무 좋아해서 작은 아들것도 바로 주문합니다.
30,아이보리 품절이라 그레이 색상으로 2개 주문해서 쓰다가 아이보리색 입고 되어서 재주문 했어요.  시원하고 일단 무엇보다 장마내내 꿉꿉하지 않고 쾌적하게 덮을 수 있어서 좋았어요. 양면이라 한쪽은 쾌적하고 다른 한쪽은  차가움이 느껴져서 열대야에 이불 끌어안고 자기도 좋아요. 가볍고 내몸에 감기면서 느낌이 참 좋은 편안한 이불입니다. 간절기용 마약이불도 구매 하려구요. 개인적인 바램이  있다면화이트 색상도  있었으면  좋겠습니다.
31,완전 부드러워요..아이가 이불속에 들어가 나오질 않아요..두께도 적당해서 4계절용으로도 사용할수있을거같아요.시원하면서도 따뜻해요..참 신기한 제품이에요.제가 구매할때는 아이보리색밖에 없었는데..재입고된듯해요.이불가방도 간단해서 가볍게 들고다니기좋아요.이번 캠핑때 잘 쓰고왔어요또구매할께요
32,진짜 시원해요여름에도 이불을 꼭 덮고자야 잠이오는 편인데 올여름은 이래도 저래도 계속 잠을 설쳐서 주문했어요. 받자마자 덮고 잤는데 덮는 순간부터 시원하고 자는동안 한번도 안깨고 잘잤어요이제부터 제 여름의 필수템이 될거같아요!!(2022-07-09 10:36:01 에 등록된 네이버 페이 구매평)
33,완전 대박!!! 지인 추천받아 구매했어요 엄청 촉감도 부드럽고 몸에 촥 감기는게 너무 좋아요~ 잠도 솔솔 잘오네요사용법에 건조기 돌리지 말라는 문구가 없어서 세탁후 살살 건조기에 말렸는데 줄지도 않았어요~ 완전 맘에들어요저희집 애기도 촉감이 맘에 드는지 자주 이불에 꾹꾹이를 하네요 ㅎ 넘넘 맘에 들어요!!! 강추강추!!
34,정말 잘 쓰고 있어요 선풍기랑 같이쓰니 에어콘 같은느낌이네요
35,작년에 바디럽을 3개 구매해서 쓰고 완전 감동했어요. 여름엔 다른 이불 필요없고 바디럽만 덮었는데 새로 나온 제품이 나와서 또 구매했어요. 이번엔 패드까지 모두 구매했어요. 넘넘 좋아요.
36,만져보면시원합니다 한쪽은부드럽고요 말없는신랑도덮어보고좋다고하네요 몸에착감기는게첨에는불편했는데 시원하게감싸서좋네요(2020-08-20 18:45:28 에 등록된 네이버 페이 구매평)
37,뎃글쓰는거 귀찮고 안좋아하는데 너무좋아 남김니다 뎃글보고 긴가민가하다  어짜피 여름이블하나할려고했으니 속는셈치고싸보자했어 전무조건 셋트를좋아했어 셋트로 구매했습니다 그런데 왠걸 생각보다 너무좋은거에요 이런 이블은 첨음봤습니다소제가 정말특이하고 너무고급스럽고 기능성은말할것도없네요 돈쓴거1도 아깝지않네요 너무너무 잘싼것같네요 이제 계절이블은 여기서 다살것같네요
38,너무 좋아요  혼자덥고 자는데  신랑이 자기꺼도 사달라고해서 하나더 구입했어요 ㅋㅋ 오늘도착한다는 문자왔어요 너무시원해서 잠잘옵니다 ㅋㅋ 강추입니다 진짜 ~~ 이불좋아서 베갴커버도 같이구매했어요~~
39,"여보....냥이님댁에 마약쿨세트 하나 놔드려야 겠어요~~     생각만큼 원단이 시원해서 꿀잠 잘듯하네요, sns 및 광고로 본지는 꾀됐으나 혹시나 하는 마음이었는데 그동안 왜 덥게지냈는지 바보같더라구요^^ 도착하자마자 이블 바로 교체ㅋ 나보다 울집주인이 더좋아하네요, 좋은건 알아가지고^^ 더운게 너무싫은 울냥이님 너무 잘주무셔서 다시하나 주문해야겠어요~"
40,"사계절 차렵이불 사용하다가 더워서 구입했어용너무 좋네요 한면은 시원하고,  한면은 부드럽고남편 쓰게 해보려고 했는데, 애기가 보고 부드럽다고너무좋아해서 애기꺼 됐어요 색도 너무 진하지도 않고 더워보이지 않아요세일가로 사니 더 좋네요 오늘 처서라는데 푹푹찌는 여름이네요이런날에 딱이죠 굿"
41,부드럽고 시원해요.생각보다 얇고 가벼워서 놀랐어요.아이가 마음에 들어해서 추가 주문 했습니다.여름이불로 만족요
42,쿨매트 생각보다 시원하고 끈적거림에없어서 놀랬어요 👍👍 여름철 시원하게 사용중이에요
43,처음 써봤는데 정말 시원하고 촉감도 너무 좋아요~^^가격 대비 완전 만족이예요 ㅎㅎ
44,군대간  아들님이  곧 휴가라서덮고 잇던  이불을  갈아야해서  알아보던중고심끝에  적당한 가격이길래 구입아들이  아토피피부 인지라 리뷰도꼼꼼히  체크햇지요~^^일단  제가  덮어보니  가볍고 시원한감도잇는듯하고  몸에 닿은 밀착감이  좋드라구요사용하다  원단에  보풀만  안생겻음 해요다른이불도  눈에 자꾸 들어오네요사용후  다른제품도  구입해봐야겟어요
45,촉감이 너무 좋아요. 하지만 첫 촉감은 시원해도 여름이라 그런지 덥네요. 에어컨 틀었을땐 딱입니다. 그냥 잘땐 한장짜리가 나을듯하네요. 이불이 오래되어 튿어져도 감기는 맛에 애착이 가는 것들은 못버리는데 최애이불이 될거 같아요.(2020-08-24 20:45:03 에 등록된 네이버 페이 구매평)
46,너무가볍고 진짜 쿨이에요 더위많이 타는 아들 줬는데 딸이 너무좋다고 난리네요 한쪽면은 쿨재질  한쪽은 포근재질 그레이 색상 시티그레이 같이 연하면서 좋아요 ^^~
47,살에 닿는 느낌이  나쁘지않네요~~올 여름 잘보낼거같아요
48,기대이상이에요~타회사 제품도 사용해봤는데 품질이 정말 좋아요~중학생 아들 매우 좋아해요
49,조카가 저희집와서 마약쿨매트 쿨이불 넘좋아하기에  생일선물로 한세트 사줬네요~~  시원하게 여름 잘나길 바랍니다ㅎㅎ
50,더위많이 타는 남편때문에 알아보다언니집에 있는걸보고 바로 구매했네요작년꺼보다 더 좋은것같아요~~시원하게 잘 잤다고 하니아들방에도 구매할려구요~^^(2022-07-18 12:07:15 에 등록된 네이버 페이 구매평)
51,너무너무 만족해요~~ 한쪽은부드러운면 한쪽은 미끌거리며 시원한면 왜진작안샀나모르겠어요 잠도잘오고 가볍고 짱입니다(2020-08-26 18:10:53 에 등록된 네이버 페이 구매평)
52,아이 방이 더워서 에어컨을 달까 고민하다가 바디럽 쿨매트를 우연히 봐서 일단 쿨매트 써보고 결정하려고 구매했는데 아이가 너무 시원하고 좋다고해서 완전 만족합니다. 아는동생도 저희집 왔다가 쿨매트보고 품질이 좋다고 바로 구매했어요. 가격대비 재품이 좋아서 적극추천합니다.
53,한달 지났는데 보들보들하게 잘 쓰고 있습니다~~ 그레이라 때도 잘 안타고 세탁도 쉽네요(2020-08-27 15:30:13 에 등록된 네이버 페이 구매평)
54,혹시나 하고 샀는데 ~~잘 샀다는 생각 이 드네요 잠도 잘 오고 이블은 더울줄 알았는데 멈에.착 감기는게  기분좋게 시원 하게 느껴 집니다  이렇게 덥도 습한 날에  짱이네요~~~ 굿굿
55,정말 한여름 더위를 시원하게 해주는 이불인것 같아요.일단 울 큰아이 이불로 넣어주었는데요. 몇 채 더 구매해야할 것 같아요.
56,너무 기분좋은 이불이에요~~아침에 일어나는게 더 힘들어지는 그런 촉감과 감촉의 이불입니다!! 적극추천이여!!!남편꺼 또사러왔습니다 따로덮으려구요~~^^♡
57,숙면중에 땀을 덜 흘리게 되었어요~피부에 닿으면 시원한 느낌이 나요!쾌적한 수면을 위해 필수 아이템같아요!!게다가 나중에 보관도 쉽게 할 수 있도록 씌우개가 있어서 더 좋은 것 같아요!
58,믿고 사는 바디럽 이불~~~작년에 여름 이불 하나 사고 가족들끼리 서로 좋다고 했던 기억에 올해도 여름 시작하자마자 겟했는데 이번꺼 너무 좋아요 피부에 닿는 촉감이 시원해서 에어컨 제습모드로 켜고 이불 덮고 자면 진짜 시원해요 ... 아가 이불도 이런재질로 만들어주셨으면 좋겠어요 그럼 당장 또 살래요!! ㅎㅎㅎ 쿨 베게커버 사러 들어왔다가 후기남겨요!
59,사용 전까지는 긴가민가 했어요... 그런데 정말 시원하고 아이가 정말 좋아해요~^^ 원래 보들보들한 천을 좋아하기도 하지만 잠들면 닿을 때마다 차가운 촉감이 좋다고 하네요~ 잠들면 차버리기는 하지만 시원한 느낌으로 잘 자요~^^ 그래서 하나 더 구매하려고요~^^
60,맨살에 닿는 느낌이 정말 좋아서 짝꿍이 없어도 괜찮아요
61,"처음 아이보리를 샀는데 애들이 너무 마음에 든다고 자기들 덮고 싶대서 다시 그레이를 샀습니다 ㅎㅎ 한번 빨고 덮고 있는데 넘 마음에 들어요~ 느낌도 좋고, 덥지 않아서 잘 덮고 자고 있어요.(2020-08-29 10:42:54 에 등록된 네이버 페이 구매평)"
62,아들이 더위를 많이 타서 검색하다가 구매했어요.예전에도 차렵이불 구매한적 있는데 촉감이 너무 좋아서 이번에도 기대하고 샀어요.옅은 그레이 색상으로 구매했는데 이쁘네요.양면인데 매쉬쪽을 안쪽으로 해서 덮으면 시원한 느낌이 드네요.(2022-07-20 10:00:00 에 등록된 네이버 페이 구매평)
63,정말매트는첨에누우믄 시원하구요 마약쿨이불이 대박이에요 안감이너무부드럽고시원해서 저희집애기가마약이불로감싸주믄너무좋아해요 땀도많은애기라ㅜㅜ너무좋구요 매번생각하는거지만 아기용도출시되믄 너무좋을거같아요
64,리뷰보고 참고해서 구매했어요. 거두절미하고 여름이불 고민하시는 분은 사세요. 네 그냥 사서 써보시길 강추합니다. 정말 시원합니다!!
65,이불이 점점 시원한 느낌이 들면서 너무 좋았어요 ㅠㅠ... 진짜 더울때일수록 돌돌 말고자는 이불입니다 ㅠㅠ 매트와 궁합이 환상적이에요!
66,배송도 빨랐고~열이 많은 아이를 위해 시원한 이불을 찾던 중에....후기가 좋아서 구매했어요! 부드럽고 몸에 착 감기고 가볍고 시원해서 아이가 넘 좋아하네요^^맘에 들어요^^
67,마약쿨세트로 이불과 매트 함께 구매했습니다일단 빠르고 안전하게 배송되었고 매진문제가 있었지만고객센터측에서 빠른 확인해서 우산 배송해주셔서 덕분에 잘 받았습니다!이삼일 사용해본 후기로는 일단 피부에 닿는 촉감이 굉장히 좋습니다.그리고 에어컨을 켜고 자던 횟수가 현저히 줄었습니다.잠들었다가 더워서 깨곤 했는데 사용후엔 잠든후에 중간에 더워서 깬적이 없을 정도로온도차가 있는것 같습니다.선풍기하나만 켜고 딱 좋은 선선한 온도로 잘수 있어서 좋습니다.사람마다 온도 차는 분명 있을것 같습니다만열이 많고 자다가도 에어컨 켜놓고 자는 제가 이정도라면 분명 효과를 더 많이 보신분들이 많을거라고 생각 되네요^^예전에 마약베개만 사용해보다가 이번 기회로 여름취침 준비 풀로 다 했습니다.더 좋은 제품 계속 만들어 주시면 또 구매하도록 하겠습니다.
68,시원하고 부드럽고 깨끗한느낌에 잠자리가 편안합니다. 쿨이불1도 잘쓰고있는데 2도 궁금해서 삿는데 잘산거같아요.(2022-07-21 20:05:24 에 등록된 네이버 페이 구매평)
69,어머니께 선물로 사드렸는데 만족도가 저보다 높으시네요~역시 믿고사는 바디럽 이번에도 성공입니다! 2년간 여러제품 구매해서 쓰고있지만 아직까지도 만족도 100프로네요 더좋은제품 항상 기대하겠습니다~
70,"더위 너무 많이 타는데...진짜 이불 추천해요.....!!!!! 너무너무 시원하고 보들보들하고 ㅜㅜㅠㅠㅜㅜㅠㅠㅠ딥그레이로 샀는데색 별로 사고 싶어요 ㅋㅋㅋㅋ ♥ㅜㅜ 제발 다들 고민하지마시고, 꼭 구매하세용!!! 꼭 할인할 때 사세여~~~"
71,방금받아서 뜯었는데 헐 개좋음여 부드럽고 시원하거 바닐라색깔 너무이뻐여 .. 맨날화이트만쓰다가 금방색변하거 관리하기 어렵구해서 다른색시키려는참에 딱원하는색있어서 겟 ㅜㅜ ㅎㅎ세탁바루하구 쓸거예여 ㅎㅎ 간절기나다른이불도 바닐라색상있으면 겟하구싶네여 .. ㅎㅎ(2022-07-23 15:21:37 에 등록된 네이버 페이 구매평)
72,퀸사이즈 매트리스에 딱!맞아요~ㅡ쿨매트는 폭신하면서 부드럽♡까끌거리지 않는 시원한 원단이예요.ㅡ쿨이불은 정말 최고네요!양면으로 한쪽은 차가운 매쉬느낌이고반대쪽은 부들한 느낌~~양면다 보들보들정말 잠 잘오게 촥~~~!!감깁니다주위분들께 추천 많이 했을만큼 조아요♡
73,친구가 이거써서 세일하기래 망설임없이 바로 구매했어요 오자마자 세탁해서 썻는데 시원하고좋네요 촉감도 아주 부드랍고 좋아요
74,열 많은 아가들을 위해 구매했어요! 확실히 시원함감이 있네요! 그렇다고 추운건아니구요ㅎㅎ 쾌적한느낌? 아이들도 더 잘자요 ❤️ 하나더 사러 왔다가 리뷰남깁니다 진짜 최고! 돈 일도 안아까워요 진작살걸 그랬습니다 ㅎㅎ패드는 미끄럼방지에 처리에 밴뎅까지 있어서 밀리지 않아 더 좋네요
75,"쿨그레이 색깔..어둡지않고 좋네요..잘 덮고 자야하는데 아들래미가 아침에 깨우러가보면 돌돌말아 안고 자고있는ㅎㅎ..아주 막 시원한 이불은 아니지만 저는 여름에도 차렵이불보다는 어느정도 덮으면 포근한 이불 좋아라해서..너무 좋네요!가격이 좀 있지만 이런 촉감에 포근함,가벼움 다 갖췄네요..좋은 제품 감사합니다.컬러풀한 색깔이 다양하게 있었으면 하는..예컨대 연두나 노랑 분홍같은.."
76,이름이 왜 마약인지 쓰보니 알겠네요.작년에도 살까말까 깔짝거리다 다른 이불을 산게 너무 후회가 됩니다이런걸 두고 안쓰본 사람은 있어도 한번 산 사람은 없다는 말이 나오는군요.설명이 필요없습니다. 이떻게 이런 기술이~~너~~ 무 좋아요에어컨 켜고 자는 듯한 느낌입니다(2022-07-29 12:38:36 에 등록된 네이버 페이 구매평)
77,더위가 많이 타는 애기들 여름내내 잘 썼어요(2020-09-06 12:29:07 에 등록된 네이버 페이 구매평)
78,대나무돗자리 사려다가 가격대 비슷한 돗자리도 대나무가시나 나무가루(?)같은게 계속 나온다하길래 바디럽 쿨매트 샀네요. 매트는 생각보다 얇네요..대나무보단 덜시원하지만 관리는 편한거같고 ..이불은 착착 감기는게 딸아이가 좋아하네요..
79,지인이 엄청 강추해서 애들 이불 바꿔줄려고 싱글두개샀는데요.신랑이 하루 딱 덮어보더니 자기가 쓰겠대요근데 저도 제가쓰고싶습니다.2개더 사야겠어요^^
80,배송도 빠르고 업그레드 되서 나온건지 색상도 화사하니 너무 예뻐요!!패드도 밀리지도 않고 세트로 구매했는데 이불은 바디럽만 이용하렵니다!!촉감ㅇㅣ 너무 좋아요~세일할때 한세트 더 구매해야겠어요^^
81,보들보들 하니 기분좋아지는 이불이고 매트도 느낌이 좋아요다만 그레이컬러가 품절되서 아이보리로 했는데쓰다가 땀에 착색될까 걱정됩니다암튼 나중에 그레이도 하나 더 구매할생각이에요
82,정말 몸에 촥감긴듯 너무 조아요저는 싱글 두개 퀸 두개 시켰는데특히 아이들이 더 조아라하고 크기도 커서 더울줄알았는데 비올땐 따슨면 더울땐 차가운면쪽으로 덮으면진짜 쉬원해서 지금 겨울이불도 노리고있답니다성인 혼자 덮는거라도 싱글하나면 충분!!아이들은 배나올걱정 없이 싱글이불 이불차내도걷어나오지가 않아 넘나 좋네요^^값어치 이상 합니다!!
83,진짜 시원해서 잠이 잘와요. 생각했던 것보다 촉감이 좋아요(2022-07-20 20:37:56 에 등록된 네이버 페이 구매평)
84,혹시나하고샀는데 쥔짜 맘에쏙들어요아토피있는데 좋구요 신랑은 피부가약해서 조금만 있어도자국이남는 아주 이상한피부요ㅡㅡ근데 자국1도없구요아이보리세트구매했는데 다른색이랑 베개도구입하러들어온김에 리뷰남겨요  요번 휴가때도 가져가려구요 가볍고 부피도작고세탁도 쉽고요  대박입니다  이불이 숨을쉬어요 그래서 시원해요  사진첨부요
85,덥는순간 비단을 덥은 느낌 시원하고 좋아요 뜩히 패드에 스트립이 있어 고정되고 넘 좋네요 바디럽 매트리스와 같은 제품이라 사이즈도 정확하게 맞습니다(2022-08-14 11:22:04 에 등록된 네이버 페이 구매평)
86,너무 좋습니다. 진짜 한면은 시원하고 한면은 보드라워요. 대만족입니다.(2020-09-09 12:12:52 에 등록된 네이버 페이 구매평)
87,우선 이벤트 초기에 구매해서 그런지 총알배송에 놀랬어요ㅎㅎ(너무 만족스러워서 추가구매했는데 이번엔 좀 늦는 감이 있어요ㅠ)패드랑 이불 모두 쿨그레이 색상으로 구매했는데 색감에 차이가 있어 구분이 되니까 좋아요패드에 사방으로 매트리스 고정밴드가 있는데 더블사이즈 매트리스에 딱맞는 사이즈로 고정도 잘되네요!이불은 양면이 달라 날씨?따라 다르게 덮을 수 있는게 너무 좋아요 양면 다 부들부들 촉감이 너무 좋아 어느쪽으로 덮어도 좋네요ㅜ 배송받고 시험삼아 덮고 낮잠잤는데 덮은 순간부터 기억이 없네요ㅎㅎ 쿨이불&패드 사고 수면의 질이 확실히 높아진데에 만족해서 주변에 구매하라고 열심히 전도 중이에요ㅎㅎㅎ 두세트 더샀는데 빨리 배송됐으면 좋겠어요^^
88,쿨 매트/이불 할인 이벤트 해서 구매 했습니다이번 여름 시원하게 보낼 것 같네요~내구성도 좋고 짜른 배송 감사합니다
89,촉감 재질 시원하구 너무좋아요 내년 여름을 위해 하나 더 사야겠어요 강추!!(2020-09-09 23:10:00 에 등록된 네이버 페이 구매평)
90,한달동안솔직히 정말 잘썼음 벌써 한달된지도 몰랐는데 이거 뜬김에 이불빨아야겠네요(2022-08-09 19:59:35 에 등록된 네이버 페이 구매평)
91,엷은 블루색이라 시원해보여요 냉감소재라 확실히 시원한 감이 있네요 구겨지지도 않고 얇고 반대쪽은 그래도 좀 포근한 느낌이 들어 초가을에 쓰면 좋을거 같아요 사이즈도 커서 퀸사이즈침대에 여유있네요(2022-08-02 15:34:42 에 등록된 네이버 페이 구매평)
92,"기존에 퀸사이즈 2장 가지고있는데, 아기가 이불 촉감을 너무좋아해서 싱글로하나 더 샀네요~~ 시원하고 부드럽고 좋아요. 양면을 다르게쓸수있어서 유용하구요(2020-09-12 17:36:33 에 등록된 네이버 페이 구매평)"
93,"잘 받았습니다:)받자마자 상태 확인하고 세탁 후 빠른 건조로 사용도 금방 할 수 있었어요~세탁도 용이하고 무엇보다 시원함을 주는 이불~꿉꿉함 없이 덮을 수 있고, 양면으로 습할 때 더울 때 나눠서 쓸 수 있어 좋아요:)"
94,같으로 보기에는 설마 시원할까 생각했는데 정말 시원하고 깔끔해서 좋아요. 진작에 살걸하고 후회했답니다. 내년 여름은 잘 견딜수있을것 같네요. 그리고 요즘처럼 쌀쌀한 날씨에는 뒤집어서 덮으면 따뜻해요. 범부터 가을까지 사용할수있을듯
95,쾌적하고 시원한느낌 확실히 통풍이 잘되는것같아요 색상도 화면이랑 같고 잘산것같아요(2022-08-13 09:00:53 에 등록된 네이버 페이 구매평)
96,날도 더워지고 해서 이번엔 쿨 매트 구입 해봤네요빠른 배송 감사드리고요~^^이번 여름 아주 시원하게 잘 보내 보겠습니다~^^
97,배송도 빠르고 소재가 가볍고 넘 시원해서 잠이 스르륵~~♡(2022-07-17 16:31:04 에 등록된 네이버 페이 구매평)
98,저의아이이 애착이불 급이에요^^ 열많은 형제가 이불가지고 싸워서.하나 더 구매했어요.
99,시원하고 촉감 좋아서 바루 빨아서 침대위에 싹~ 깔았어요~ 3시간만에 말라서 놀랐구요~ 날씨가덥긴했지만.. 어쨋든 ~바루 깔아서 요즘 잘 사용 하고 있어요~
